episode,reward,steps
1,-308.3773424315552,82
2,-341.7543356190628,80
3,-171.12562032426683,107
4,-231.3956855453239,78
5,-402.24419430529844,117
6,-152.7072784613299,84
7,-366.01685957812873,107
8,-554.7396261652157,110
9,-26.993316605134737,84
10,-148.01460164401772,73
11,-245.02794386943734,98
12,-165.65072333859945,90
13,-115.14999796066112,75
14,-592.2384034065003,114
15,-215.53440760847502,86
16,-186.9318810819871,76
17,-414.3086913676468,106
18,-146.0714587103055,72
19,-311.9206787585606,110
20,-254.5577399494478,99
21,-475.89164640713244,104
22,-216.5339514102496,82
23,-169.9943102398956,85
24,-83.64478980210575,66
25,-257.22489411774137,70
26,-127.69121787141492,64
27,-160.38238459891377,88
28,-209.59569543745823,184
29,-123.9938923480946,62
30,-142.85320067179117,108
31,-195.7815768605317,137
32,-190.0303607281287,108
33,-145.7823510277707,80
34,-147.57877975667665,92
35,-144.22142639810693,91
36,-180.79066600646615,128
37,-172.02356526746524,92
38,-156.51572767873904,130
39,-206.2260770242124,99
40,-96.21864272676541,119
41,-177.75815491868866,92
42,-162.87556730564427,142
43,-136.1225612167099,75
44,-96.39741658534875,116
45,-94.47363301026856,92
46,-121.79439294398595,109
47,-89.61835031354813,94
48,-195.05104464149116,95
49,-113.19291803869686,121
50,-117.4266947645011,105
51,-166.71547553359318,92
52,-155.09418895229254,89
53,-153.13236871800035,125
54,-143.58070590682365,116
55,-96.41897306233086,119
56,-157.69228835381287,88
57,-133.99013210121706,138
58,-132.6301042913679,114
59,-138.08401543314514,119
60,-31.429488600873228,127
61,-108.9596678982299,161
62,-133.83313388235072,74
63,-165.88814521374823,161
64,-155.11267194834886,165
65,-175.25330000650106,161
66,-73.71176739379527,104
67,-112.97889027330004,172
68,-61.413770208793764,231
69,-129.80783883821186,104
70,-169.34343128613338,138
71,-64.23829546242743,179
72,-100.11079977429247,217
73,-87.57608270368729,81
74,-174.49225489052267,130
75,-108.72401269964757,144
76,-166.10728619734522,187
77,-74.21031524280416,96
