episode,reward,steps
0,17.0,17
1,34.0,34
2,84.0,84
3,12.0,12
4,24.0,24
5,68.0,68
6,23.0,23
7,24.0,24
8,25.0,25
9,21.0,21
10,13.0,13
11,10.0,10
12,18.0,18
13,16.0,16
14,53.0,53
15,12.0,12
16,12.0,12
17,15.0,15
18,21.0,21
19,22.0,22
20,27.0,27
21,26.0,26
22,10.0,10
23,17.0,17
24,14.0,14
25,12.0,12
26,14.0,14
27,18.0,18
28,11.0,11
29,12.0,12
30,13.0,13
31,19.0,19
32,18.0,18
33,18.0,18
34,25.0,25
35,25.0,25
36,24.0,24
37,14.0,14
38,15.0,15
39,45.0,45
40,16.0,16
41,39.0,39
42,14.0,14
43,40.0,40
44,36.0,36
45,12.0,12
46,17.0,17
47,16.0,16
48,14.0,14
49,36.0,36
50,20.0,20
51,26.0,26
52,14.0,14
53,28.0,28
54,30.0,30
55,44.0,44
56,17.0,17
57,19.0,19
58,16.0,16
59,77.0,77
60,18.0,18
61,32.0,32
62,10.0,10
63,21.0,21
64,35.0,35
65,14.0,14
66,18.0,18
67,10.0,10
68,19.0,19
69,41.0,41
70,40.0,40
71,59.0,59
72,11.0,11
73,57.0,57
74,46.0,46
75,40.0,40
76,28.0,28
77,72.0,72
78,42.0,42
79,70.0,70
80,13.0,13
81,22.0,22
82,34.0,34
83,61.0,61
84,13.0,13
85,22.0,22
86,18.0,18
87,29.0,29
88,28.0,28
89,15.0,15
90,30.0,30
91,16.0,16
92,64.0,64
93,14.0,14
94,38.0,38
95,12.0,12
96,13.0,13
97,41.0,41
98,35.0,35
99,37.0,37
100,16.0,16
101,13.0,13
102,29.0,29
103,88.0,88
104,24.0,24
105,79.0,79
106,42.0,42
107,48.0,48
108,9.0,9
109,39.0,39
110,68.0,68
111,36.0,36
112,33.0,33
113,64.0,64
114,84.0,84
115,17.0,17
116,48.0,48
117,31.0,31
118,48.0,48
119,90.0,90
120,18.0,18
121,54.0,54
122,34.0,34
123,11.0,11
124,22.0,22
125,34.0,34
126,92.0,92
127,76.0,76
128,21.0,21
129,21.0,21
130,42.0,42
131,39.0,39
132,101.0,101
133,69.0,69
134,24.0,24
135,75.0,75
136,80.0,80
137,63.0,63
138,74.0,74
139,22.0,22
140,48.0,48
141,22.0,22
142,106.0,106
143,23.0,23
144,59.0,59
145,66.0,66
146,102.0,102
147,110.0,110
148,71.0,71
149,89.0,89
150,70.0,70
151,85.0,85
152,22.0,22
153,62.0,62
154,73.0,73
155,49.0,49
156,54.0,54
157,50.0,50
158,79.0,79
159,70.0,70
160,35.0,35
161,82.0,82
162,37.0,37
163,66.0,66
164,88.0,88
165,67.0,67
166,46.0,46
167,77.0,77
168,32.0,32
169,57.0,57
170,56.0,56
171,40.0,40
172,68.0,68
173,49.0,49
174,22.0,22
175,63.0,63
176,69.0,69
177,80.0,80
178,44.0,44
179,42.0,42
180,20.0,20
181,24.0,24
182,102.0,102
183,19.0,19
184,58.0,58
185,32.0,32
186,46.0,46
187,40.0,40
188,58.0,58
189,51.0,51
190,67.0,67
191,137.0,137
192,51.0,51
193,82.0,82
194,44.0,44
195,56.0,56
196,55.0,55
197,68.0,68
198,72.0,72
199,29.0,29
200,60.0,60
201,59.0,59
202,151.0,151
203,102.0,102
204,59.0,59
205,71.0,71
206,39.0,39
207,27.0,27
208,46.0,46
209,19.0,19
210,54.0,54
211,67.0,67
212,39.0,39
213,143.0,143
214,56.0,56
215,45.0,45
216,67.0,67
217,167.0,167
218,77.0,77
219,125.0,125
220,60.0,60
221,97.0,97
222,132.0,132
223,137.0,137
224,16.0,16
225,83.0,83
226,43.0,43
227,72.0,72
228,50.0,50
229,33.0,33
230,85.0,85
231,145.0,145
232,99.0,99
233,154.0,154
234,200.0,200
235,152.0,152
236,53.0,53
237,153.0,153
238,96.0,96
239,138.0,138
240,200.0,200
241,142.0,142
242,176.0,176
243,41.0,41
244,150.0,150
245,151.0,151
246,155.0,155
247,43.0,43
248,81.0,81
249,71.0,71
250,42.0,42
251,16.0,16
252,82.0,82
253,55.0,55
254,61.0,61
255,20.0,20
256,50.0,50
257,200.0,200
258,47.0,47
259,88.0,88
260,53.0,53
261,49.0,49
262,31.0,31
263,166.0,166
264,94.0,94
265,200.0,200
266,59.0,59
267,74.0,74
268,102.0,102
269,56.0,56
270,64.0,64
271,55.0,55
272,42.0,42
273,111.0,111
274,187.0,187
275,145.0,145
276,134.0,134
277,181.0,181
278,200.0,200
279,92.0,92
280,132.0,132
281,122.0,122
282,163.0,163
283,102.0,102
284,72.0,72
285,99.0,99
286,70.0,70
287,148.0,148
288,17.0,17
289,13.0,13
290,128.0,128
291,123.0,123
292,159.0,159
293,134.0,134
294,167.0,167
295,112.0,112
296,128.0,128
297,154.0,154
298,92.0,92
299,155.0,155
300,184.0,184
301,107.0,107
302,69.0,69
303,126.0,126
304,152.0,152
305,200.0,200
306,175.0,175
307,200.0,200
308,129.0,129
309,193.0,193
310,151.0,151
311,173.0,173
312,72.0,72
313,58.0,58
314,110.0,110
315,200.0,200
316,122.0,122
317,200.0,200
318,105.0,105
319,123.0,123
320,155.0,155
321,200.0,200
322,200.0,200
323,85.0,85
324,172.0,172
325,83.0,83
326,18.0,18
327,200.0,200
328,120.0,120
329,200.0,200
330,200.0,200
331,116.0,116
332,165.0,165
333,177.0,177
334,156.0,156
335,72.0,72
336,181.0,181
337,176.0,176
338,60.0,60
339,42.0,42
340,200.0,200
341,200.0,200
342,200.0,200
343,200.0,200
344,200.0,200
345,140.0,140
346,126.0,126
347,200.0,200
348,200.0,200
349,139.0,139
350,136.0,136
351,200.0,200
352,200.0,200
353,171.0,171
354,155.0,155
355,200.0,200
356,200.0,200
357,200.0,200
358,145.0,145
359,172.0,172
360,116.0,116
361,134.0,134
362,200.0,200
363,173.0,173
364,200.0,200
365,112.0,112
366,185.0,185
367,200.0,200
368,116.0,116
369,182.0,182
370,137.0,137
371,200.0,200
372,156.0,156
373,176.0,176
374,200.0,200
375,200.0,200
376,200.0,200
377,200.0,200
378,200.0,200
379,200.0,200
380,166.0,166
381,158.0,158
382,200.0,200
383,200.0,200
384,200.0,200
385,170.0,170
386,200.0,200
387,186.0,186
388,200.0,200
389,200.0,200
390,195.0,195
391,200.0,200
392,200.0,200
393,196.0,196
394,145.0,145
395,200.0,200
396,200.0,200
397,200.0,200
398,200.0,200
399,181.0,181
400,200.0,200
401,118.0,118
402,200.0,200
403,200.0,200
404,200.0,200
405,200.0,200
406,200.0,200
407,23.0,23
408,200.0,200
409,200.0,200
410,200.0,200
411,200.0,200
412,159.0,159
413,189.0,189
414,183.0,183
415,200.0,200
416,200.0,200
417,200.0,200
418,168.0,168
419,200.0,200
420,192.0,192
421,200.0,200
422,197.0,197
423,185.0,185
424,179.0,179
425,200.0,200
426,107.0,107
427,116.0,116
428,126.0,126
429,200.0,200
430,139.0,139
431,129.0,129
432,101.0,101
433,100.0,100
434,200.0,200
435,171.0,171
436,151.0,151
437,155.0,155
438,113.0,113
439,200.0,200
440,125.0,125
441,162.0,162
442,176.0,176
443,92.0,92
444,196.0,196
445,175.0,175
446,200.0,200
447,200.0,200
448,181.0,181
449,200.0,200
450,114.0,114
451,200.0,200
452,183.0,183
453,200.0,200
454,200.0,200
455,200.0,200
456,126.0,126
457,91.0,91
458,200.0,200
459,200.0,200
460,97.0,97
461,82.0,82
462,150.0,150
463,87.0,87
464,112.0,112
465,200.0,200
466,120.0,120
467,200.0,200
468,200.0,200
469,87.0,87
470,127.0,127
471,126.0,126
472,137.0,137
473,200.0,200
474,200.0,200
475,184.0,184
476,200.0,200
477,200.0,200
478,200.0,200
479,142.0,142
480,200.0,200
481,200.0,200
482,200.0,200
483,200.0,200
484,200.0,200
485,200.0,200
486,200.0,200
487,200.0,200
488,200.0,200
489,200.0,200
490,200.0,200
491,200.0,200
492,200.0,200
493,200.0,200
494,200.0,200
495,200.0,200
496,200.0,200
497,200.0,200
498,200.0,200
499,200.0,200
500,200.0,200
501,200.0,200
502,159.0,159
503,200.0,200
504,200.0,200
505,200.0,200
506,200.0,200
507,200.0,200
508,56.0,56
509,156.0,156
