agent,aggregated,anneal_steps,batch_normalization,batch_size,date,decay_freq,discount,double,dueling,env,episodes,err_clip,exploration,exploration_anneal_steps,exploration_min,exploration_q_clip,exploration_start,exploration_temp,exploration_temp_min,filename,final_reward,hidden_activation,hidden_dropout,history_len,idealization,init_mean,init_method,init_std,input_dropout,layer_sizes,loss,lr,lr_decay,lr_init,lr_min,max_reward,memory_size,min_mem_size,multi_steps,n_epochs,n_eps,normalize,optimizer,out_activation,policy,prioritize_replay,priority_exp,priority_shift,q_clip,seed,solve_episode,streams_size,tail_avg,tail_std,target_update_freq,time,weights_init
dqnp,-218.91704239733522,,False,968,2018-05-13 00:06:00,196.0,0.6865153916557862,False,False,lander,,,,161,0.0662329848288727,,0.7253310717104988,-1.0,,(7) DQNP on LunarLander @ 13.05 00.06 [-9223363291972762922-22382902524237175307],-229.05889570410343,sigmoid,0,2,0.9230823451793662,,,,0.0,[256],mae,,0.18051509272289507,0.0332522499100377,1e-05,-68.06687927504855,161792,1000,,4,40,False,adam,linear,eps-greedy,,,,"[-10, 10]",7,,-1,-223.15843346380834,103.82695016358602,60,1522.7830095291138,lecun_uniform
dqnp,-82.01915249514906,,False,32,2018-05-11 19:10:00,200.0,0.99,False,False,lander,,,,150,0.01,,1.0,-1.0,,DQNP on LunarLander @ 11.05 19.10 [8764902457015],-95.64622881495356,sigmoid,0,2,1.0,,lecun_uniform,,0.0,"[384, 192]",mse,,0.1,0.005,1e-05,147.64386391228834,50000,1000,,1,227,False,adam,linear,eps-greedy,,,,"[-10000, 10000]",9,,-1,-101.06405938043456,66.3856002880896,0,2401.9162113666534,lecun_uniform
dqnp,-208.77537397455814,,False,32,2018-05-13 14:40:00,242.0,0.9476452917558372,False,False,lander,,,,85,0.2167609155832972,,0.8968801538649246,-1.0,,(0) DQNP on LunarLander @ 13.05 14.40 [-9223363248922027590-70950976784830498052],-381.8809961176117,sigmoid,0,2,0.38730949307757423,,,,0.0,"[256, 512]",mse,,0.19593021035733738,0.007361644008071698,1e-05,85.90497861651981,5000,1000,,1,225,False,adam,linear,eps-greedy,,,,"[-1000, 1000]",0,,-1,-197.02167934713682,123.17462908215738,0,1502.1860973834991,random_uniform
dqnp,119.06100582954008,,False,32,2018-05-09 15:36:00,200.0,0.975,False,False,lander,,,,150,0.01,,1.0,-1.0,,DQNP on LunarLander @ 09.05 15.36 [8768268758420],214.6949464192569,sigmoid,0,2,1.0,,,,0.0,"[384, 192]",mse,,0.1,0.005,1e-05,273.17108933601776,50000,1000,1.0,1,400,False,adam,linear,eps-greedy,,,,"[-10000, 10000]",21,,-1,98.22571867112147,141.29634070291337,0,2424.130786180496,lecun_uniform
dqnp,88.05037435825656,,False,32,2018-05-11 18:32:00,50.0,0.99,False,False,lander,,,,150,0.01,,1.0,-1.0,,DQNP on LunarLander @ 11.05 18.32 [-9223363248705788300],-97.25708021739928,sigmoid,0,2,1.0,,lecun_uniform,,0.0,"[384, 192]",mse,,0.4,0.01,1e-05,230.40429089532105,50000,1000,,1,257,False,adam,linear,eps-greedy,,,,"[-10000, 10000]",16,,-1,120.39913910672608,107.00847028710224,0,1811.3806147575378,lecun_uniform
qlp,148.92961812533997,1300.0,False,32,2018-05-08 13:42:00,1000.0,0.3485708400935516,False,False,pole,,,,150,0.2,,1.0,-1.0,,QLP on CartPole @ 08.05 13.42 [-9223372036559953099],154.0,sigmoid,0,2,0.4041441293645034,0.0,,0.1,0.0,"(384, 192)",mse,,0.05,1.0,0.0001,200.0,50000,1000,,1,1499,False,adam,linear,eps-greedy,,,,"(-10000, 10000)",24,,-1,146.42,39.85381874660029,0,4.558461904525757,lecun_uniform
dqnp,-229.62186574473495,,False,32,2018-05-11 18:59:00,200.0,0.99,False,False,lander,,,,150,0.01,,1.0,-1.0,,DQNP on LunarLander @ 11.05 18.59 [-9223363258728916469],-272.78940053980057,sigmoid,0,2,0.0,,lecun_uniform,,0.0,"[384, 192]",mse,,0.1,0.005,1e-05,97.99169203580044,50000,1000,,1,346,False,adam,linear,eps-greedy,,,,"[-10000, 10000]",0,,-1,-255.7215002671327,67.11499666995367,0,2406.1706173419952,lecun_uniform
qlp,171.7473141628415,300.0,False,32,2018-05-08 13:33:00,1000.0,0.7466906483221817,False,False,pole,,,,150,0.1546950675049902,,0.9037611040302728,-1.0,,QLP on CartPole @ 08.05 13.33 [274142777],200.0,sigmoid,0,2,0.20885262252278514,0.0,,0.1,0.0,"(384, 192)",mse,,0.4117234474996481,0.32373869743973305,0.0001,200.0,50000,1000,,1,1499,False,adam,linear,eps-greedy,,,,"(-10000, 10000)",24,,-1,168.04,42.82685837158497,0,8.484441995620728,lecun_uniform
dqnp,-155.8416841373802,,False,137,2018-05-13 12:46:00,63.0,0.5438054446411152,False,False,lander,,,,174,0.40361029524754,,0.8465000840151747,2.0,,(8) DQNP on LunarLander @ 13.05 12.46 [-9223363269746979489-36665640857755074433],-247.79265582249812,hard_sigmoid,0,2,0.464890739328119,,,,0.0,"[192, 384]",mae,,0.5452698317419159,0.006633025276710811,1e-05,34.43506045660271,6007,1000,,3,141,False,adam,linear,eps-greedy,,,,"[-8928, 8928]",8,,-1,-152.8843296511652,74.53044571291882,97,1510.4179906845093,glorot_uniform
dqnp,-53.17400880567128,,False,32,2018-05-10 23:30:00,200.0,0.99,False,False,lander,,,,150,0.01,,1.0,-1.0,,DQNP on LunarLander @ 10.05 23.30 [-9223363248361410791],215.41336615472287,sigmoid,0,3,1.0,,,,0.0,"[384, 192]",mse,,0.1,0.005,1e-05,250.653048842589,50000,1000,1.0,1,400,False,adam,linear,eps-greedy,True,0.6,0.01,"[-10000, 10000]",1,,-1,-125.72895210913198,162.54604531289613,25,1194.734058380127,lecun_uniform
